Subject,SubjectCode,SubjectType,Credits
Communicative Engilish,HS8151,T,4
Engineering Mathematics I,MA8151,T,4
Engineering Physics,PH8151,T,3
Engineering Chemistry,CY8151,T,3
Problem Solving and Python Programming,GE8151,T,3
Engineering Graphics,GE8152,T,3
Problem Solving and Python Programming Laboratory,GE8161,P,2
Physics and Chemistry Laboratory,BS8161,P,2
b,,,
Technical English,HS8251,T,4
Engineering Mathematics II,MA8251,T,4
Material Science,PH8251,T,3
Basic Electrical Electronics and Instrumentation Engineering,BE8253,T,3
Environmental Science and Engineering,GE8291,T,3
Engineering Mechanics,GE8292,T,3
Engineering Practices Laboratory,GE5261,P,2
Basic Electrical Electronics and Instrumentation Engineering Laboratory,BE8261,P,2
b,,,
Transforms and Partial Diffrential Equations,MA8353,T,4
Engineering Thermodynamics,ME8391,T,4
Fluid Mechanics and Machinery,CE8394,T,4
Manufacturing Technology - I,ME8351,T,3
Electrical Drives and Controls,EE8353,T,3
Manufacturing Technology Laboratory - I,ME8361,P,2
Computer Aided Machine Drawing,ME8381,P,2
Electrical Engineering Laboratory,EE8361,P,2
Interpersonal Skills / Listening & Speaking,HS8381,P,2
b,,,
Statics and Numerical Methods,MA8452,T,4
Kinematics of Machinery,ME8492,T,3
Manufacturing Technology - II,ME8451,T,3
Engineering Metallurgy,ME8491,T,3
Strength of Materials for Mechanical Engineers,CE8395,T,3
Thermal Engineering - I,ME8493,T,3
Manufacturing Technology Laboratory - II,ME8462,P,2
Strength of Materials and Fluid Mechanics Machinery Laboratory,CE8381,P,2
Advanced Reading and Writing,HS8461,P,1
b,,,
Thermal Engineering - II,ME8595,T,3
Design of Machine Elements,ME8593,T,3
Metrology and MEsurements,ME9501,T,3
Dynamics of Machines,ME8594,T,4
Kinematics and Dynamics Laboratory,ME8511,P,2
Thermal Engineering Laboratory,ME8512,P,2
Metrilogy and Measurements Laboratory,ME8513,P,2
Automobile Engineering,ME8091,T,3
Welding  Technology,PR8592,T,3
Gas Dynamics and Jet Propulsion,ME8096,T,3
Intellectual Property Rights,GE8075,T,3
Fundamentals of Nano Science,GE8073,T,3
b,,,
Design of Transmission Systems,ME8651,T,3
Computer Aided Design and Manufacturing,ME8691,T,3
Heat and Mass Transfer,ME8693,T,3
Finite Element Analysis,ME8692,T,3
Hydraulics and Pneumatics,ME8694,T,3
C.A.D./C.A.M. Laboratory,ME8681,P,2
Design and Fabricstion Project,ME8682,P,2
Professional Communication,HS8581,P,1
Automobile Engineering,ME8091,T,3
Welding Technology,PR8592,T,3
Gas Dynamics and Jet Propulsion,ME8075,T,3
Intellectual Property Rights,GE8075,T,3
fundamentals of Nano Science,GE8073,T,3
b,,,
Power Plant Engineering,ME8792,T,3
Mechatronics,ME8793,T,3
Process Planning and Cost Estimation,ME8791,T,3
Simulation and Analysis Laboratory,ME8711,P,2
Mechatronics Laboratory,ME8781,P,2
Technical Seminar,ME8712,P,1
Refrigeration and Air Conditioning,ME8071,T,3
Renewable Sources of Energy,ME8072,T,3
Quality Control and Reliabilty Processes,ME8098,T,3
Unconventional Machining Processes,ME8073,T,3
Operations Research,MG8491,T,3
Additive Manufacturing,MF8071,T,3
Total Quality Management,GE8077,T,3
Robotics,ME8099,T,3
Design of Jigs Fixtures and Press Tools,ME8095,T,3
Computational Fluid Dynamics,ME8093,T,3
Non Destructive Testing and Evaluation,ME8097,T,3
Composite materials and Mechanics,ME8092,T,3
Foundation Skills in Integrated Product Development,GE8072,T,3
Human Rights,GE8074,T,3
Disaster management,GE8071,T,3
b,,,
Project Work,ME8811,P,10
Principle of Management,MG8591,T,3
Production Planning and Control,IE8693,T,3
Enterpreneurship Development,MG8091,T,3
Computer Integrated Manufacturing Systems,ME8094,T,3
Vibration and Noise Control,EE8091,T,3
Professional Ethics in Engineering,GE8076,T,3
